epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0361,0.91108,2.80163,1.17384,0.00856,0.9625,0.34137,0.24818,0.39739,2.98326,0.90614,6e-05,6e-05,6e-05
2,33.0195,0.98657,2.64668,1.13301,0.00867,0.975,0.4323,0.35792,0.46403,2.96352,0.91283,0.000134456,0.000134456,0.000134456
3,43.9278,0.84994,2.10175,1.12605,0.00867,0.975,0.4622,0.37828,0.53374,2.91079,0.92489,0.000202576,0.000202576,0.000202576
4,55.7088,0.81153,1.78668,1.07674,0.00878,0.9875,0.51515,0.40305,0.61849,2.79785,0.95287,0.00026436,0.00026436,0.00026436
5,67.7567,0.90498,1.49133,1.07601,0.94146,0.2011,0.5381,0.396,0.70973,2.6416,0.97848,0.000319808,0.000319808,0.000319808
6,80.1714,0.936,1.94005,1.25179,0.95326,0.25506,0.55077,0.43206,0.69786,2.55737,0.96863,0.00036892,0.00036892,0.00036892
7,91.0975,0.86754,1.52,1.12672,0.96576,0.3526,0.58323,0.48808,0.66286,2.46892,0.97026,0.000411696,0.000411696,0.000411696
8,101.657,0.80064,1.6376,1.12076,0.96167,0.31364,0.57858,0.47984,0.66931,2.4826,0.97193,0.000448136,0.000448136,0.000448136
9,112.643,0.63558,1.39311,1.05431,1,0.25529,0.57879,0.47119,0.68391,2.58967,0.97364,0.00047824,0.00047824,0.00047824
10,123.155,0.78626,1.54893,1.13025,1,0.21903,0.55938,0.45304,0.69666,2.63499,0.97718,0.000502008,0.000502008,0.000502008
11,133.726,0.7854,1.34338,1.08913,1,0.36744,0.56225,0.47962,0.70092,2.51946,0.9834,0.00051944,0.00051944,0.00051944
12,144.197,0.79021,1.4295,1.09774,0.92005,0.4316,0.54507,0.46676,0.67422,2.34246,0.99195,0.000530536,0.000530536,0.000530536
13,154.671,0.72066,1.33911,1.04883,0.79628,0.43977,0.56778,0.47914,0.65884,2.23407,0.98003,0.000535296,0.000535296,0.000535296
14,165.229,0.69716,1.22407,1.04598,0.86489,0.56014,0.68678,0.6031,0.64374,2.10599,0.97019,0.00053372,0.00053372,0.00053372
15,176.004,0.84211,1.1759,1.03366,0.84858,0.63049,0.79059,0.69692,0.62518,1.94564,0.99782,0.000525808,0.000525808,0.000525808
16,186.86,0.5805,1.83191,0.97853,0.84858,0.63049,0.79059,0.69692,0.62518,1.94564,0.99782,0.00051156,0.00051156,0.00051156
17,197.522,0.69049,1.67263,0.98821,0.89012,0.675,0.8282,0.71474,0.63029,1.88828,1.00195,0.000490976,0.000490976,0.000490976
18,210.531,0.62329,1.87898,0.98679,0.88448,0.675,0.83214,0.7142,0.65848,1.86514,1.02756,0.000464056,0.000464056,0.000464056
19,221.325,0.65359,1.47793,0.95454,0.88448,0.675,0.83214,0.7142,0.65848,1.86514,1.02756,0.0004308,0.0004308,0.0004308
20,231.667,0.65471,1.68673,1.0228,0.96476,0.68446,0.82951,0.70684,0.66719,1.86883,1.04404,0.000391208,0.000391208,0.000391208
21,242.31,0.644,1.74126,1.06733,0.9188,0.70729,0.84282,0.72777,0.65072,1.83517,1.00727,0.00034528,0.00034528,0.00034528
22,252.655,0.60214,1.57435,0.9613,0.9188,0.70729,0.84282,0.72777,0.65072,1.83517,1.00727,0.000293016,0.000293016,0.000293016
23,263.138,0.69024,1.60948,1.02949,0.908,0.74026,0.87572,0.75413,0.62707,1.7348,0.97154,0.000234416,0.000234416,0.000234416
24,273.372,0.5577,1.43103,0.922,0.908,0.74026,0.87572,0.75413,0.62707,1.7348,0.97154,0.00016948,0.00016948,0.00016948
25,284.072,0.79471,1.6108,1.10699,0.91309,0.78797,0.88191,0.75918,0.61545,1.61585,0.94993,9.8208e-05,9.8208e-05,9.8208e-05
